month,day,avg_temp_f,min_temp_f,max_temp_f,stdev
1,1,27.85,19,45,4.292726406376255
1,2,27.3,17,43,4.160528812542944
1,3,27.8,16,46,4.853864439804639
1,4,27.65,15,45,4.901785389018984
1,5,27.4,13,38,4.684015371452148
1,6,27.6,13,38,4.431703961232068
1,7,27.6,13,36,4.465422712353221
1,8,28.05,17,38,3.694252292413175
1,9,28.75,20,40,3.096368841078207
1,10,29.25,22,43,2.9643717715563276
1,11,29.45,20,45,3.556332380416656
1,12,29,18,41,3.7013511046643495
1,13,28.45,17,43,3.4709508783617204
1,14,28.15,16,44,3.5954832776693593
1,15,27.85,13,43,3.9404948927767944
1,16,27.65,12,40,3.965791219920685
1,17,27.4,12,45,5.2
1,18,27.8,12,44,5.334791467339656
1,19,28.7,13,48,5.514526271584894
1,20,28.85,15,47,4.798697740012388
1,21,28.85,17,47,4.840196277011915
1,22,28.45,16,47,4.800781186432058
1,23,28.4,16,47,5.073460357586329
1,24,28.8,17,48,5.045790324617145
1,25,29.6,18,48,4.72652091923859
1,26,29.8,18,50,4.467661580737736
1,27,29.85,17,52,4.650537603331469
1,28,30.15,18,50,4.92214384186403
1,29,29.7,17,48,4.279018579066934
1,30,29.8,18,48,4.812483766206387
1,31,30.45,18,56,5.678688228807776
2,1,30.55,18,58,5.817860431464475
2,2,30.4,15,51,5.927900134111573
2,3,30.8,15,55,6.217716622683925
2,4,31.6,16,59,5.94474557908074
2,5,32.05,16,57,5.3802880963755095
2,6,31.95,16,57,4.769433928675394
2,7,32.3,17,58,5.090186637049765
2,8,32.75,23,61,4.856696408053524
2,9,33.4,23,58,5.678027826631356
2,10,33.55,20,57,6.020589672116843
2,11,32.9,20,57,5.602677931132575
2,12,32.65,18,58,5.237127075028827
2,13,33.2,16,58,4.874423042781576
2,14,34.45,17,58,5.181457323958194
2,15,34.7,19,58,5.404627646748663
2,16,34.65,23,53,4.486368241685026
2,17,34.45,24,51,3.6534230524263136
2,18,35.25,24,54,4.14578098794425
2,19,35.4,24,57,4.24735211631906
2,20,35.25,24,56,4.1337029404639125
2,21,36.35,23,60,5.350467269313962
2,22,36.6,29,58,4.973932046178356
2,23,35.7,25,60,3.963584236521283
2,24,35.5,25,57,3.8013155617496426
2,25,36.1,25,59,3.6864617182333523
2,26,36.75,27,63,3.9354161152284775
2,27,37.65,24,58,4.3159587579123135
2,28,37.75,25,59,5.156306817868773
2,29,39.4,31,59,3.6660605559646724
3,1,38.7,29,61,4.8999999999999995
3,2,39.05,23,62,5.3336197839741075
3,3,39.65,23,63,5.850427334819226
3,4,40.2,26,70,5.912698199637793
3,5,40.3,28,66,5.25452186216786
3,6,41.8,28,65,4.456455991031438
3,7,42.35,29,66,3.785168424258028
3,8,42.45,29,65,3.247691487810997
3,9,43.05,30,68,3.943031828428475
3,10,44,31,68,4.494441010848846
3,11,44.8,29,70,4.1303752856126765
3,12,46.05,30,70,4.212778180725874
3,13,46.05,29,71,4.443815927780988
3,14,45.8,30,71,5.163332257370235
3,15,45.85,31,72,5.256186830773807
3,16,46.95,32,76,5.389573266966505
3,17,47.25,31,75,5.337368265353254
3,18,47,32,75,5.329165037789691
3,19,47.65,31,77,5.082076347321043
3,20,48.5,31,76,5.239274758971894
3,21,49.55,31,77,4.88339021582343
3,22,49.7,32,79,5.586591089385369
3,23,49.2,32,81,5.78446194559183
3,24,48.6,30,78,5.388877434122992
3,25,49.1,30,77,4.836320915737499
3,26,48.85,33,73,4.508602887813474
3,27,48.25,31,78,4.656984002549289
3,28,49.3,32,80,3.809199390948182
3,29,49.35,33,78,3.9150351211706895
3,30,49.5,35,80,5.296225070746145
3,31,50.7,33,79,5.9506302187247355
4,1,51.25,32,74,5.708546224740586
4,2,51,34,73,4.254409477236529
4,3,50.7,33,76,4.583666654546335
4,4,51.9,33,80,5.356304696336832
4,5,53.05,34,80,4.521891197275759
4,6,52.05,35,80,4.6311445669510265
4,7,53.4,34,79,4.340506882842142
4,8,53.05,34,80,4.466262419518137
4,9,52.8,34,82,5.3535035257296695
4,10,52.55,34,81,5.877712139940165
4,11,54.45,36,83,5.219913792391595
4,12,55.25,34,84,4.877243073704652
4,13,54.75,37,83,4.794528131109463
4,14,54.95,35,78,4.055551750378733
4,15,54,35,77,4.242640687119285
4,16,54,37,78,4.427188724235731
4,17,54.9,33,81,4.699999999999999
4,18,55.6,35,83,4.235563716909474
4,19,55.15,36,84,5.052474641203061
4,20,56.4,37,84,4.953786430600334
4,21,57.65,34,87,4.767336782733102
4,22,58.7,36,90,5.158488150611572
4,23,58.8,37,91,4.812483766206387
4,24,58.2,38,90,4.411349000022556
4,25,59.1,35,85,4.194043395102153
4,26,58.5,37,87,5.661271941887264
4,27,59.05,36,90,5.6167161224331075
4,28,59.7,38,89,5.728001396647874
4,29,59.3,37,90,5.831809324729333
4,30,59.15,38,92,5.850427334819226
5,1,58.75,35,87,6.040488390850528
5,2,59.8,37,90,5.818934610390463
5,3,61.2,38,91,4.853864439804639
5,4,62.85,41,93,4.901785389018984
5,5,63.8,39,90,5.519057890618652
5,6,63.75,43,88,5.194949470399111
5,7,63.1,37,87,4.3
5,8,62.6,40,91,3.942080668885405
5,9,62.5,40,92,5.361902647381804
5,10,63.2,41,90,5.221110992882646
5,11,62.3,42,92,5.505451843400321
5,12,63.45,41,95,6.280724480503821
5,13,65,41,96,5.412947441089743
5,14,66.45,44,98,5.084043666216883
5,15,68.05,47,98,3.8791107228332637
5,16,68.2,46,96,5.124451190127583
5,17,67.4,49,95,5.994997914928745
5,18,67.3,43,97,6.269768735766894
5,19,67.75,45,96,6.6020830046281604
5,20,68.55,43,95,5.634491991297884
5,21,67.4,50,93,4.715930449020639
5,22,67.25,46,94,6.195764682426214
5,23,67.2,43,97,6.345076831686122
5,24,67.5,47,98,6.360031446463139
5,25,69.05,45,100,5.580994535026889
5,26,69.6,47,100,5.721887800367987
5,27,69.9,47,99,5.52177507691141
5,28,70.55,49,102,6.359834903517544
5,29,70.6,47,100,6.851277253184255
5,30,71.05,47,102,6.793195124534552
5,31,72.25,44,101,5.717298313014636
6,1,72.85,49,99,4.245880356298326
6,2,73.6,50,99,4.235563716909475
6,3,74.2,47,101,4.686149805543993
6,4,74.8,50,100,4.718050444834179
6,5,75.15,52,101,5.3969899017878475
6,6,74.5,50,101,6.48459713474939
6,7,74.2,52,101,7.8204859184068605
6,8,74.4,47,103,6.696267617113283
6,9,73.75,49,103,6.751851597895202
6,10,73,44,102,6.260990336999411
6,11,72.7,50,101,6.34901567173999
6,12,72.7,48,98,5.441507144165116
6,13,73.3,49,101,6.189507250177512
6,14,74.4,51,102,4.694677837722202
6,15,75.95,53,102,4.188973621306299
6,16,76.4,55,104,4.294182110716778
6,17,76.4,50,105,5.499090833947008
6,18,76.45,49,103,5.113462623311135
6,19,77,51,102,4.69041575982343
6,20,77.6,56,105,4.352011029397789
6,21,78.05,55,103,4.69547654663507
6,22,78.95,55,105,4.352872614722375
6,23,79.5,53,105,4.695742752749559
6,24,80.45,56,106,4.727314248069404
6,25,80.95,55,107,3.9808918598726093
6,26,81.4,56,107,4.091454509095757
6,27,81.7,59,109,4.5287967496897
6,28,82.6,58,111,4.476605857119878
6,29,82.8,60,113,4.833218389437829
6,30,83.2,59,112,4.654030511288039
7,1,84.45,60,114,4.153010955921017
7,2,85.6,63,114,3.9038442591886273
7,3,85.7,63,114,4.208325082500163
7,4,85.45,61,115,4.499722213648305
7,5,85.35,59,116,4.486368241685027
7,6,85.9,61,114,4.048456495999432
7,7,85.55,62,113,3.943031828428475
7,8,86.05,63,113,3.81411850890871
7,9,85.4,61,111,3.891015291668744
7,10,85.3,61,113,4.124318125460256
7,11,85.3,62,114,4.075536774462966
7,12,86.8,60,115,3.749666651850535
7,13,87.4,64,117,3.397057550292605
7,14,87,61,115,3.63318042491699
7,15,87.3,62,114,3.8353617821530217
7,16,87.55,63,115,3.7479994663820326
7,17,87.45,64,113,3.4709508783617213
7,18,87.4,65,113,2.6343879744638987
7,19,87.65,65,112,2.5548972582082436
7,20,87.75,65,112,3.359687485466468
7,21,88.2,65,113,3.4438350715445125
7,22,88.2,65,115,3.2341923257592455
7,23,88.3,64,115,3.0512292604784723
7,24,88.7,65,113,2.9681644159311666
7,25,87.75,66,114,3.686122624113311
7,26,87.6,66,113,3.184336665618131
7,27,86.9,65,113,3.477067730142742
7,28,86.75,60,114,3.753331853167263
7,29,86.2,57,113,4.190465367951393
7,30,87.1,61,114,4.085339643163099
7,31,87.05,63,116,3.485326383568689
8,1,86.05,64,114,3.9048047326338873
8,2,85.7,63,112,3.4942810419312305
8,3,84.75,66,112,3.897114317029974
8,4,83.8,60,108,2.959729717389748
8,5,83.7,65,107,2.934280150224242
8,6,83.9,63,108,3.315116890850155
8,7,83.2,62,110,3.9446165846632044
8,8,82.1,62,109,4.646504062195577
8,9,82.45,57,110,4.6634214907082985
8,10,82.85,59,108,4.198511641046145
8,11,83.6,61,109,3.7336309405188937
8,12,82.75,62,108,3.404041715373065
8,13,83.1,60,111,3.753664875824691
8,14,83.8,61,111,3.4583232931581156
8,15,83.35,63,110,3.6231892028984634
8,16,82.35,54,107,4.015905875391006
8,17,81.9,55,107,3.7269290307168443
8,18,81.1,57,107,3.491418050019218
8,19,80.2,58,104,3.370459909270543
8,20,80.4,60,105,3.4409301068170506
8,21,80.8,62,102,2.9597297173897483
8,22,80,61,103,2.7748873851023217
8,23,78.75,60,104,3.5759614091877445
8,24,78.2,55,104,4.445222154178574
8,25,79,58,104,3.9496835316262997
8,26,79,60,103,3.8078865529319543
8,27,78.35,54,103,4.574658457196559
8,28,78.6,54,105,3.9924929555354263
8,29,78.9,55,105,3.935733730830885
8,30,78.6,57,103,4.59782557302906
8,31,77.9,52,103,5.068530358989674
9,1,76.05,53,103,5.2770730523652984
9,2,75.75,49,101,4.9585784253150615
9,3,75.9,51,103,5.700000000000001
9,4,75.45,50,100,5.739991289191996
9,5,74.9,49,101,5.038849074937648
9,6,73.35,51,99,4.530728418256826
9,7,73.15,49,98,4.23408785926792
9,8,72.05,51,94,3.216753021293366
9,9,70.5,48,94,3.0903074280724887
9,10,69.8,49,96,3.994996871087636
9,11,69.65,47,97,4.315958757912314
9,12,70.2,49,96,4.545327270945404
9,13,69.6,47,93,4.1880783182743855
9,14,68.75,46,92,3.5478866949213583
9,15,68.25,48,92,3.491060010942235
9,16,67.8,49,93,4.7812132351527685
9,17,67.4,43,93,5.508175741568166
9,18,66.3,41,91,5.5596762495670555
9,19,65.75,44,88,4.4483142874576656
9,20,65.05,45,89,4.488596662655267
9,21,64.05,45,90,4.398579316097416
9,22,62.7,44,89,5.16817182376902
9,23,62.35,41,91,5.303536555921906
9,24,62.55,41,91,5.625611077918558
9,25,62.35,41,89,5.237127075028827
9,26,62.65,41,90,5.3969899017878475
9,27,63.05,43,89,4.842261868176895
9,28,63.8,39,88,4.422668877499196
9,29,63.2,43,86,4.802082881417188
9,30,62.3,39,87,5.487257967327579
10,1,61.85,39,89,6.350393688583409
10,2,61.25,39,87,6.556485338960196
10,3,60.35,37,85,5.738248861804443
10,4,58.15,39,83,5.121279137090655
10,5,57,37,82,5.338539126015656
10,6,55.8,38,82,5.446099521676041
10,7,55.15,37,81,4.962610200287747
10,8,55.55,37,82,4.748420790115383
10,9,55.05,37,81,4.684815898197068
10,10,54.25,36,79,5.165994579942956
10,11,53.75,31,80,5.3091901453988255
10,12,52,32,76,4.658325879540846
10,13,52.3,33,77,4.220189569201838
10,14,52.45,34,78,4.769433928675394
10,15,52.95,34,77,5.305421755148219
10,16,53.5,34,77,4.685082710048992
10,17,53.25,35,75,4.157823950096974
10,18,52.45,36,75,3.9303307748839664
10,19,52.35,36,77,4.339066719929528
10,20,52.1,36,73,3.6592348927063973
10,21,50.9,36,74,3.871692136521188
10,22,50.85,34,75,4.003436024217197
10,23,50.35,33,72,3.182373328193912
10,24,49.75,34,70,3.476708213238494
10,25,48.9,33,70,4.217819341792628
10,26,48.3,34,69,4.013726448077895
10,27,47.9,33,70,4.380639222761903
10,28,47.75,30,70,5.557652382076446
10,29,47.6,32,71,5.416641025580337
10,30,47.3,28,68,5.395368384086485
10,31,45.85,25,65,5.790293602227783
11,1,45.75,26,67,6.032205235235287
11,2,45.15,27,66,6.125969311056006
11,3,44.05,27,63,5.342986056504359
11,4,43.2,27,63,4.632493928760187
11,5,43.2,28,64,4.388621651498338
11,6,43.2,29,64,5.025932749251625
11,7,43,30,63,4.774934554525329
11,8,43.35,29,64,5.341114115987413
11,9,42.8,28,63,4.512205669071391
11,10,42.5,28,63,4.455333881989093
11,11,41.85,28,63,5.3969899017878475
11,12,40.7,29,61,5.459853477887478
11,13,40.05,27,60,4.716725559114076
11,14,39.95,29,61,4.352872614722375
11,15,38.55,29,61,3.667083309661781
11,16,38.35,26,59,4.972675336275233
11,17,38,22,57,4.764451699828638
11,18,37.55,22,57,4.598641103630507
11,19,37.15,24,58,4.3849173310337335
11,20,38.3,24,54,4.796873982084583
11,21,37.95,23,55,4.903825037661927
11,22,36.8,26,58,4.955804677345546
11,23,35.85,26,58,4.126439142893058
11,24,34.6,24,55,4.017461885320134
11,25,34.1,24,56,3.8065732621348563
11,26,33.85,24,55,3.6506848672543617
11,27,34.15,23,55,4.396305266925854
11,28,33.95,28,51,3.0079062485390065
11,29,34.25,28,52,3.329789783154486
11,30,33.9,26,53,4.504442251822082
12,1,33.7,22,53,4.267317658670374
12,2,33.45,21,52,4.543952024394624
12,3,32.9,22,49,4.4147480109288235
12,4,31.45,18,51,4.2127781807258735
12,5,31.15,17,52,5.101715397785337
12,6,31.35,20,52,5.369124695888521
12,7,31.6,19,50,4.933558553417605
12,8,31.1,22,48,3.8065732621348563
12,9,30.85,22,46,3.66435533211505
12,10,30.5,19,49,4.295346318982906
12,11,30.55,16,46,4.924175057814253
12,12,30.95,18,52,5.074199444247339
12,13,31.5,17,46,4.716990566028302
12,14,32.2,22,48,4.166533331199931
12,15,31.4,18,47,4.5541190146942805
12,16,30.6,18,42,3.8131351929875237
12,17,29.7,18,44,3.8091993909481823
12,18,29.25,19,40,3.080178566252288
12,19,29.2,18,36,2.5219040425836985
12,20,29.7,19,43,2.8653097563788803
12,21,30.05,20,43,3.247691487810996
12,22,30.35,21,44,3.1980462785894765
12,23,29.95,17,40,3.2167530212933664
12,24,29.55,15,44,3.625948151863179
12,25,29.55,17,43,3.9934321078490864
12,26,28.65,16,40,3.9150351211706895
12,27,28.45,16,36,3.6670833096617805
12,28,28.75,15,44,4.072775466435634
12,29,28.85,17,43,4.102133591193734
12,30,28.9,20,43,3.419064199455752
12,31,29,20,44,4.159326868617084
